2023-05-03 15:59:26.951 [main] INFO  com.solvd.Hospital.Main - ------------------------------------------------------
2023-05-03 15:59:26.953 [main] INFO  com.solvd.Hospital.Main - Main Menu:
2023-05-03 15:59:26.954 [main] INFO  com.solvd.Hospital.Main - a. Make an appointment
2023-05-03 15:59:26.954 [main] INFO  com.solvd.Hospital.Main - b. Give a patient a diagnosis
2023-05-03 15:59:26.954 [main] INFO  com.solvd.Hospital.Main - c. Prescribe treatment
2023-05-03 15:59:26.954 [main] INFO  com.solvd.Hospital.Main - d. Write a prescription
2023-05-03 15:59:26.954 [main] INFO  com.solvd.Hospital.Main - e. Display all doctors
2023-05-03 15:59:26.954 [main] INFO  com.solvd.Hospital.Main - f. Display all patients
2023-05-03 15:59:26.954 [main] INFO  com.solvd.Hospital.Main - g. Exit
2023-05-03 15:59:26.954 [main] INFO  com.solvd.Hospital.Main - Enter your choice: 
2023-05-03 15:59:30.042 [main] INFO  com.solvd.Hospital.Main - Choose a doctor:
2023-05-03 15:59:30.049 [main] INFO  com.solvd.Hospital.Main - 1. Doctor: Experience='5', IDr='EMP1', doctorId='1', jobTitle='Cardiologist', name='Dr. Smith', gender='M', age=55
2023-05-03 15:59:30.049 [main] INFO  com.solvd.Hospital.Main - 2. Doctor: Experience='10', IDr='EMP2', doctorId='2', jobTitle='Emergency', name='Dr. Johnson', gender='F', age=45
2023-05-03 15:59:30.049 [main] INFO  com.solvd.Hospital.Main - 3. Doctor: Experience='8', IDr='EMP3', doctorId='3', jobTitle='Radiology', name='Dr. Williams', gender='M', age=40
2023-05-03 15:59:30.049 [main] INFO  com.solvd.Hospital.Main - Enter the doctor's number: 
2023-05-08 17:12:38.775 [main] INFO  com.solvd.Hospital.Classes.Menu - ------------------------------------------------------
2023-05-08 17:12:38.778 [main] INFO  com.solvd.Hospital.Classes.Menu - Main Menu:
2023-05-08 17:12:38.778 [main] INFO  com.solvd.Hospital.Classes.Menu - a. Make an appointment
2023-05-08 17:12:38.778 [main] INFO  com.solvd.Hospital.Classes.Menu - b. Give a patient a diagnosis
2023-05-08 17:12:38.779 [main] INFO  com.solvd.Hospital.Classes.Menu - c. Prescribe treatment
2023-05-08 17:12:38.779 [main] INFO  com.solvd.Hospital.Classes.Menu - d. Write a prescription
2023-05-08 17:12:38.779 [main] INFO  com.solvd.Hospital.Classes.Menu - e. Display all doctors
2023-05-08 17:12:38.779 [main] INFO  com.solvd.Hospital.Classes.Menu - f. Display all patients
2023-05-08 17:12:38.779 [main] INFO  com.solvd.Hospital.Classes.Menu - g. Exit
2023-05-08 17:12:38.779 [main] INFO  com.solvd.Hospital.Classes.Menu - Enter your choice: 
2023-05-08 17:12:41.929 [main] WARN  com.solvd.Hospital.Main - Invalid Input
2023-05-08 17:12:41.929 [main] INFO  com.solvd.Hospital.Main - Invalid choice. Please try again.
2023-05-08 17:12:41.929 [main] INFO  com.solvd.Hospital.Classes.Menu - ------------------------------------------------------
2023-05-08 17:12:41.930 [main] INFO  com.solvd.Hospital.Classes.Menu - Main Menu:
2023-05-08 17:12:41.930 [main] INFO  com.solvd.Hospital.Classes.Menu - a. Make an appointment
2023-05-08 17:12:41.930 [main] INFO  com.solvd.Hospital.Classes.Menu - b. Give a patient a diagnosis
2023-05-08 17:12:41.930 [main] INFO  com.solvd.Hospital.Classes.Menu - c. Prescribe treatment
2023-05-08 17:12:41.930 [main] INFO  com.solvd.Hospital.Classes.Menu - d. Write a prescription
2023-05-08 17:12:41.930 [main] INFO  com.solvd.Hospital.Classes.Menu - e. Display all doctors
2023-05-08 17:12:41.930 [main] INFO  com.solvd.Hospital.Classes.Menu - f. Display all patients
2023-05-08 17:12:41.930 [main] INFO  com.solvd.Hospital.Classes.Menu - g. Exit
2023-05-08 17:12:41.930 [main] INFO  com.solvd.Hospital.Classes.Menu - Enter your choice: 
2023-05-08 17:12:43.010 [main] INFO  com.solvd.Hospital.Main - Choose a doctor:
2023-05-08 17:12:43.016 [main] INFO  com.solvd.Hospital.Main - 1. Doctor: Experience='5', IDr='EMP1', doctorId='1', jobTitle='Cardiologist', name='Dr. Smith', gender='M', age=55
2023-05-08 17:12:43.016 [main] INFO  com.solvd.Hospital.Main - 2. Doctor: Experience='10', IDr='EMP2', doctorId='2', jobTitle='Emergency', name='Dr. Johnson', gender='F', age=45
2023-05-08 17:12:43.016 [main] INFO  com.solvd.Hospital.Main - 3. Doctor: Experience='8', IDr='EMP3', doctorId='3', jobTitle='Radiology', name='Dr. Williams', gender='M', age=40
2023-05-08 17:12:43.016 [main] INFO  com.solvd.Hospital.Main - Enter the doctor's number: 
2023-05-08 17:12:45.175 [main] WARN  com.solvd.Hospital.Main - Invalid input. Please enter a valid doctor's number.
2023-05-08 17:12:45.176 [main] INFO  com.solvd.Hospital.Main - Choose a doctor:
2023-05-08 17:12:45.176 [main] INFO  com.solvd.Hospital.Main - 1. Doctor: Experience='5', IDr='EMP1', doctorId='1', jobTitle='Cardiologist', name='Dr. Smith', gender='M', age=55
2023-05-08 17:12:45.176 [main] INFO  com.solvd.Hospital.Main - 2. Doctor: Experience='10', IDr='EMP2', doctorId='2', jobTitle='Emergency', name='Dr. Johnson', gender='F', age=45
2023-05-08 17:12:45.176 [main] INFO  com.solvd.Hospital.Main - 3. Doctor: Experience='8', IDr='EMP3', doctorId='3', jobTitle='Radiology', name='Dr. Williams', gender='M', age=40
2023-05-08 17:12:45.176 [main] INFO  com.solvd.Hospital.Main - Enter the doctor's number: 
2023-05-08 17:12:47.250 [main] INFO  com.solvd.Hospital.Main - Enter your name:
2023-05-08 17:12:49.474 [main] INFO  com.solvd.Hospital.Main - Enter your gender (M/F):
2023-05-08 17:12:50.604 [main] INFO  com.solvd.Hospital.Main - Enter patient age:
2023-05-08 17:12:53.371 [main] WARN  com.solvd.Hospital.Main - Invalid input. Please enter a valid age (integer).
2023-05-08 17:12:54.491 [main] INFO  com.solvd.Hospital.Main - Available time slots:
2023-05-08 17:12:54.493 [main] INFO  com.solvd.Hospital.Main - 1. 08:00 AM
2023-05-08 17:12:54.494 [main] INFO  com.solvd.Hospital.Main - 2. 08:30 AM
2023-05-08 17:12:54.494 [main] INFO  com.solvd.Hospital.Main - 3. 09:00 AM
2023-05-08 17:12:54.494 [main] INFO  com.solvd.Hospital.Main - 4. 09:30 AM
2023-05-08 17:12:54.494 [main] INFO  com.solvd.Hospital.Main - 5. 10:00 AM
2023-05-08 17:12:54.494 [main] INFO  com.solvd.Hospital.Main - 6. 10:30 AM
2023-05-08 17:12:54.494 [main] INFO  com.solvd.Hospital.Main - 7. 11:00 AM
2023-05-08 17:12:54.494 [main] INFO  com.solvd.Hospital.Main - 8. 11:30 AM
2023-05-08 17:12:54.494 [main] INFO  com.solvd.Hospital.Main - 9. 12:00 PM
2023-05-08 17:12:54.494 [main] INFO  com.solvd.Hospital.Main - 10. 12:30 PM
2023-05-08 17:12:54.495 [main] INFO  com.solvd.Hospital.Main - 11. 01:00 PM
2023-05-08 17:12:54.495 [main] INFO  com.solvd.Hospital.Main - 12. 01:30 PM
2023-05-08 17:12:54.495 [main] INFO  com.solvd.Hospital.Main - 13. 02:00 PM
2023-05-08 17:12:54.495 [main] INFO  com.solvd.Hospital.Main - 14. 02:30 PM
